GCT_STUB.display-label,HD01
Geographic area,Population
"Summerfield CDP, Prince George's County",10898
"Swanton CDP, Garrett County",58
"Sykesville town, Carroll County",4436
"Takoma Park city, Montgomery County",16715
"Tall Timbers CDP, St. Mary's County",462
"Taneytown city, Carroll County",6728
"Taylors Island CDP, Dorchester County",173
"Temple Hills CDP, Prince George's County",7852
Templeville town,138
Caroline County (part),52
Queen Anne's County (part),86
"Thurmont town, Frederick County",6170
"Tilghman Island CDP, Talbot County",784
"Tilghmanton CDP, Washington County",465
"Timonium CDP, Baltimore County",9925
"Tolchester CDP, Kent County",329
"Towson CDP, Baltimore County",55197(r44992)
"Trappe town, Talbot County",1077
"Travilah CDP, Montgomery County",12159
"Trego-Rohrersville Station CDP, Washington County",172
"Tyaskin CDP, Wicomico County",236
"Union Bridge town, Carroll County",975
"University Park town, Prince George's County",2548
"Upper Marlboro town, Prince George's County",631
"Urbana CDP, Frederick County",9175
"Vale Summit CDP, Allegany County",139
"Vienna town, Dorchester County",271
"Waldorf CDP, Charles County",67752
"Walker Mill CDP, Prince George's County",11302
"Walkersville town, Frederick County",5800
"Washington Grove town, Montgomery County",555
"Waterview CDP, Wicomico County",40
"West Denton CDP, Caroline County",52
"Westernport town, Allegany County",1888
"West Laurel CDP, Prince George's County",4230
"Westminster city, Carroll County",18590
"West Ocean City CDP, Worcester County",4375
"Westphalia CDP, Prince George's County",7266
"West Pocomoke CDP, Somerset County",454
"Whaleyville CDP, Worcester County",149
"Wheaton CDP, Montgomery County",48284
"Whitehaven CDP, Wicomico County",43
"White Marsh CDP, Baltimore County",9513
"White Oak CDP, Montgomery County",17403
"Willards town, Wicomico County",958
"Williamsport town, Washington County",2137
"Williston CDP, Caroline County",155
"Wilson-Conococheague CDP, Washington County",2282
"Woodland CDP, Allegany County",113
"Woodlawn CDP (Baltimore County), Baltimore County",37879
"Woodlawn CDP (Prince George's County), Prince George's County",6334
"Woodmore CDP, Prince George's County",3936
"Woodsboro town, Frederick County",1141
"Worton CDP, Kent County",249
"Yarrowsburg CDP, Washington County",133
"Zihlman CDP, Allegany County",362
